Timestamp,AlertType,Severity,Message,SensorValues
2026-06-05 23:04:00,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:04:05,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:04:10,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:04:15,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:04:20,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:04:25,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:04:30,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:04:35,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:04:40,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:04:45,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:04:50,Low Light,Warning,Ambient light dropped below minimum threshold.,"Temp: 24.78°C, Light: 0.0%, Motion: 0"
2026-06-05 23:05:00,Motion Detected,Information,Motion event detected in monitored area.,"Temp: 24.78°C, Light: 98.0%, Motion: 1"
2026-06-05 23:05:10,High Temperature,Warning,Temperature exceeded 35°C threshold.,"Temp: 45.8°C, Light: 98.0%, Motion: 0"
2026-06-05 23:05:15,High Temperature,Warning,Temperature exceeded 35°C threshold.,"Temp: 45.8°C, Light: 98.0%, Motion: 0"
2026-06-05 23:05:20,High Temperature,Warning,Temperature exceeded 35°C threshold.,"Temp: 45.8°C, Light: 98.0%, Motion: 0"
2026-06-05 23:05:25,High Temperature,Warning,Temperature exceeded 35°C threshold.,"Temp: 45.8°C, Light: 98.0%, Motion: 0"
2026-06-05 23:05:30,Critical Environment,Critical,High temperature and motion detected simultaneously.,"Temp: 45.8°C, Light: 98.0%, Motion: 1"
2026-06-05 23:05:35,Critical Environment,Critical,High temperature and motion detected simultaneously.,"Temp: 45.8°C, Light: 98.0%, Motion: 1"
2026-06-05 23:05:40,Critical Environment,Critical,High temperature and motion detected simultaneously.,"Temp: 45.8°C, Light: 98.0%, Motion: 1"
2026-06-05 23:05:45,Critical Environment,Critical,High temperature and motion detected simultaneously.,"Temp: 45.8°C, Light: 98.0%, Motion: 1"
2026-06-05 23:06:05,Motion Detected,Information,Motion event detected in monitored area.,"Temp: 16.96°C, Light: 97.0%, Motion: 1"
2026-06-05 23:06:10,Motion Detected,Information,Motion event detected in monitored area.,"Temp: 16.96°C, Light: 97.0%, Motion: 1"
2026-06-05 23:06:15,Motion Detected,Information,Motion event detected in monitored area.,"Temp: 16.96°C, Light: 97.0%, Motion: 1"
2026-06-05 23:06:35,Motion Detected,Information,Motion event detected in monitored area.,"Temp: 27.22°C, Light: 96.0%, Motion: 1"
2026-06-05 23:06:45,Motion Detected,Information,Motion event detected in monitored area.,"Temp: 27.22°C, Light: 96.0%, Motion: 1"
2026-06-05 23:07:10,High Temperature,Warning,Temperature exceeded 35°C threshold.,"Temp: 49.22°C, Light: 97.0%, Motion: 0"
2026-06-05 23:07:15,High Temperature,Warning,Temperature exceeded 35°C threshold.,"Temp: 49.22°C, Light: 98.0%, Motion: 0"
2026-06-05 23:07:20,Critical Environment,Critical,High temperature and motion detected simultaneously.,"Temp: 49.22°C, Light: 98.0%, Motion: 1"
2026-06-05 23:07:25,Critical Environment,Critical,High temperature and motion detected simultaneously.,"Temp: 49.22°C, Light: 98.0%, Motion: 1"
2026-06-05 23:07:30,Critical Environment,Critical,High temperature and motion detected simultaneously.,"Temp: 49.22°C, Light: 98.0%, Motion: 1"
2026-06-05 23:07:35,Critical Environment,Critical,High temperature and motion detected simultaneously.,"Temp: 49.22°C, Light: 98.0%, Motion: 1"
2026-06-05 23:07:40,Critical Environment,Critical,High temperature and motion detected simultaneously.,"Temp: 49.22°C, Light: 98.0%, Motion: 1"
